split_1	split_2	split_3
545	33406	49824
549	1089	2553
552	34293	8775
554	44130	27396
561	26716	10002
565	44013	404
569	45461	35941
572	42219	46030
573	14596	46027
574	38995	9435
575	24550	17632
576	48858	4759
579	12093	3793
582	3630	9457
583	11519	13170
587	13918	6073
588	48276	394
590	32764	1180
591	33316	19561
595	10433	8010
596	49249	18362
597	26552	21861
600	28554	49569
602	38390	40727
605	17752	33969
606	12759	32722
611	15731	29846
617	37005	5323
619	24837	31718
620	35233	12935
621	20623	28923
623	10434	48373
624	4020	41727
626	7918	32763
627	25054	19993
628	41522	4886
630	24226	15878
633	21506	49489
637	43768	36095
638	38014	34137
639	2727	31272
640	9900	39926
641	34131	26993
643	44686	42825
647	2273	48906
649	4454	29288
650	21907	2771
651	38656	26195
656	6961	30764
657	33725	8067
658	2365	46727
660	30092	4718
661	22365	40310
664	37152	49341
667	8801	32011
668	32534	12564
671	8153	10317
672	13002	40704
674	4722	13499
676	19596	41363
678	10592	26867
680	31818	46996
681	12797	40827
682	4700	48022
685	3497	45893
687	9356	37690
691	43368	25092
692	48730	44124
694	19416	6717
696	889	6486
697	2213	45834
698	5353	37151
700	28323	2641
704	41668	44105
705	40476	5450
707	42800	29436
708	42368	13987
710	39702	16771
711	980	24737
712	25954	29503
713	18051	21072
715	31133	14448
717	45479	2393
720	9078	15309
723	22273	43539
724	12768	43582
728	29498	12101
729	19685	48876
731	43372	44013
737	8688	2171
738	40189	18601
739	39429	2716
740	30029	38111
742	2590	7422
743	34318	47996
744	7517	31109
747	9957	5269
748	5137	9285
749	629	40779
750	32390	32417
752	12014	5575
754	6400	29458
756	2895	23800
760	35082	16549
761	1517	14211
765	43691	14486
766	810	5012
770	25314	4618
771	31977	14330
773	34578	37340
774	32650	45606
778	12730	48866
779	49513	13799
780	34376	16796
782	2514	2516
783	5045	4334
789	23826	16739
790	23291	12457
793	13208	18003
794	4429	36822
795	30338	35061
797	19598	38686
798	26773	19908
802	42746	49428
804	37328	16422
805	37615	4228
808	45834	42390
811	16320	25947
812	7758	49460
816	10676	20929
821	5597	11342
823	9712	5138
824	42543	44588
827	11295	12592
831	38046	20503
837	30611	4533
839	28226	40273
845	7637	49995
846	1728	27056
849	49495	42710
852	41441	14341
853	29090	2491
856	16818	12858
859	8277	16057
860	40041	28162
862	32207	46021
868	34991	38501
870	22389	2342
876	3582	47151
877	17998	46649
881	32084	30900
883	35977	3356
888	20948	26263
889	29326	5877
891	39561	28950
893	42025	17884
894	33	15846
895	14873	8921
896	34401	40270
900	47780	39770
902	6434	26951
906	3756	15478
907	28135	8103
909	27520	38007
911	3054	27733
913	33419	13278
915	45307	4018
918	44006	31450
921	16100	26070
923	4594	47838
924	41195	18669
925	6306	45942
926	43056	36974
927	47238	32711
929	24739	40163
930	32449	28747
931	9605	25809
932	37806	47276
933	27129	34603
934	10597	8292
936	34281	29489
939	48207	36971
943	27559	36170
944	26168	14371
945	10733	10238
947	33723	49191
948	36965	24785
949	23001	18845
950	6809	21969
952	40350	22459
954	41230	42389
957	17554	41312
961	48490	15683
970	48950	35805
971	31442	44443
972	46675	5615
974	694	29302
975	1255	18892
981	24091	16900
983	13269	32490
984	37849	28102
990	24176	2263
998	36997	20614
999	2109	11785
1000	21826	41679
1001	7235	19794
1002	21890	9317
1003	14072	7840
1004	3647	3405
1008	33943	8802
1009	39364	30417
1011	26655	33188
1014	1218	31252
1017	13783	18418
1020	41645	31054
1022	49906	19405
1024	37645	39825
1025	49423	44589
1028	38516	49242
1029	43553	30676
1030	24437	3097
1035	35092	44494
1036	24142	16193
1037	38721	42051
1038	45145	11175
1039	14160	36989
1040	30120	19036
1041	26784	18666
1044	49332	23253
1046	30241	33600
1048	10416	41681
1051	15723	33856
1052	44843	41219
1053	16013	49225
1054	27766	36272
1056	34255	14668
1057	27718	11420
1059	16963	45260
1063	11607	16455
1064	21264	27540
1066	36463	28791
1067	18544	10734
1068	24187	10137
1071	39619	48010
1072	33805	39651
1073	33935	35131
1075	4685	2095
1076	18840	1610
1080	20140	28323
1081	19190	14404
1082	29292	41673
1084	41397	24229
1085	25757	27806
1089	21376	763
1090	43778	26351
1092	45045	47585
1093	2650	36543
1096	22801	38421
1097	35492	36033
1099	18491	15536
1100	1480	8880
1105	1374	15743
1108	34580	21054
1109	12804	31164
1110	44063	7467
1111	4000	8185
1112	47275	15815
1114	48146	14723
1115	6934	41013
1117	33529	25957
1118	39137	32652
1119	34678	26772
1122	13452	9581
1128	24008	43476
1129	43384	41925
1130	162	32312
1136	47388	11054
1137	23800	22091
1138	47487	46320
1140	24822	17410
1143	1106	883
1145	5452	44484
1147	36970	37235
1148	29625	11976
1151	38594	5816
1153	46769	35293
1154	17698	46493
1155	24024	30610
1159	26031	49997
1160	41948	28941
1162	24780	42976
1165	17037	40618
1167	28821	26642
1171	26047	9265
1174	49503	29595
1175	48408	24663
1178	726	20626
1179	36683	20894
1185	23605	42328
1186	44474	629
1188	15430	29228
1190	13097	33803
1191	27282	22565
1193	45060	46846
1198	5311	22220
1201	47097	5726
1204	28713	38338
1206	43475	47031
1207	39878	46554
1209	24835	28719
1212	41321	18077
1214	44687	45328
1216	125	37786
1220	22881	9662
1224	9580	46897
1225	49634	37243
1226	6555	48646
1227	35656	13857
1228	29078	42612
1229	26464	12197
1231	37410	10448
1233	20156	31994
1235	4312	38615
1236	46032	44738
1238	35734	6022
1241	17869	30795
1243	21680	48975
1244	32722	15207
1246	1583	261
1247	49666	44206
1248	36517	44037
1249	4213	18818
1250	11370	41296
1251	12195	39096
1257	1333	43943
1261	18535	5135
1262	4377	32892
1263	18584	38396
1264	11105	41018
1267	40097	10416
1268	6993	9386
1269	1467	17397
1272	49397	8364
1274	37932	4243
1276	31498	29158
1278	38791	49380
1279	16477	37325
1280	28510	5558
1281	12577	38094
1283	40572	28499
1284	13317	4900
1285	44090	26549
1286	32846	42647
1287	12241	9375
1289	48569	18474
1290	34410	29764
1291	32933	15129
1292	15792	36769
1296	17005	30511
1298	15199	38420
1302	1222	682
1303	1195	627
1305	40016	10320
1307	14048	9051
1310	11157	4889
1311	33707	21423
1313	18760	4530
1317	43851	23395
1318	31938	28004
1324	26996	15134
1326	32835	15486
1328	26420	34485
1330	8630	15364
1332	20757	25384
1337	24286	20214
1338	15255	8946
1339	44903	16892
1341	42551	40461
1342	13692	42140
1343	40553	18172
1344	30571	1621
1347	31699	26541
1349	36929	7363
1351	30404	48528
1352	9372	29306
1353	34641	28521
1354	20982	2718
1355	41141	8223
1357	15919	12885
1359	47957	19140
1362	22990	18416
1363	46066	27895
1365	31186	2796
1367	18631	6568
1368	6119	42072
1369	40876	1325
1370	25272	40593
1372	22946	49474
1374	45568	39305
1375	20879	34707
1376	1122	47769
1377	37843	8807
1378	1476	36824
1379	41840	37154
1381	4929	26975
1385	18714	46174
1387	19683	23097
1388	38382	28470
1389	1285	9728
1391	24241	47115
1392	41646	28389
1393	45981	30064
1395	49985	22102
1400	33185	14008
1401	9831	40664
1403	28086	21567
1404	8194	37729
1406	32092	49002
1408	16893	37209
1409	4869	42314
1410	10472	24596
1416	29172	31261
1417	25516	14320
1419	37689	28975
1420	33066	32173
1421	19761	25999
1422	3127	23242
1424	18484	30608
1426	3018	27090
1428	41285	46067
1429	14120	47066
1434	39258	36042
1438	30677	48831
1439	32001	26416
1440	25834	49521
1441	45714	406
1442	44331	48618
1444	36848	25589
1451	27368	32640
1455	17535	31137
1456	2716	36202
1459	46298	32937
1462	20352	31627
1465	48803	28766
1466	360	36512
1467	45306	26820
1468	7857	34268
1469	8542	1140
1470	14705	259
1472	39314	46026
1473	10375	24393
1474	37890	31463
1476	26395	1204
1477	27058	32929
1478	13313	3731
1479	46327	38381
1480	43813	27081
1481	45468	32474
1482	14877	11656
1483	17734	1185
1484	38718	48066
1485	15243	6820
1486	49238	4413
1487	1465	42204
1490	15049	43585
1491	6269	48433
1492	29792	45829
1494	15960	15100
1495	46410	40968
1496	43338	49636
1498	49929	7706
1501	18446	48246
1504	24865	36962
1505	25450	20844
1509	9859	8973
1512	21171	45058
1513	19173	28370
1514	48709	14933
1515	33867	40671
1520	10384	11640
1521	22088	4522
1523	43874	21163
1524	30847	16158
1526	23950	16943
1527	14289	25824
1528	12502	39238
1529	19267	4678
1530	19771	10638
1531	48037	7475
1534	48968	8569
1538	20177	663
1539	27716	32598
1540	1534	49356
1541	38113	48359
1542	48498	22690
1544	16468	16090
1545	22600	26670
1547	11327	6731
1550	45350	1330
1555	27430	14693
1556	30174	16929
1564	11684	15456
1569	23049	16053
1572	44604	27119
1574	28763	21553
1575	2842	23150
1576	9022	40460
1577	25521	17710
1578	19417	22136
1580	24053	998
1581	7456	2575
1583	45345	11139
1588	35272	19567
1591	39206	2801
1597	18179	32249
1599	28191	18999
1600	19158	27242
1603	44779	12033
1604	31634	5808
1606	43575	21248
1608	3399	33322
1610	39783	20274
1615	3322	11357
1616	22326	40404
1618	8864	12775
1622	31206	6569
1623	37559	41927
1624	7982	12516
1625	7704	86
1627	42823	9405
1628	10763	44727
1629	29075	22003
1630	34484	46349
1632	40387	30506
1634	35293	15569
1640	20431	48451
1644	26147	35035
1646	160	39884
1647	12403	13569
1648	49598	34106
1649	43235	44468
1651	10012	26763
1652	28706	49699
1654	39574	18930
1655	13022	31110
1658	19959	38371
1664	18710	42316
1667	11852	48370
1669	41419	30408
1671	350	34831
1672	23433	26617
1673	43013	46098
1675	27881	42532
1676	24632	46831
1679	43010	19665
1683	25785	15557
1686	4552	10751
1687	6618	17517
1688	2116	549
1691	28499	14894
1693	3685	47064
1696	5372	32175
1700	1327	23313
1701	22111	18510
1705	39474	42011
1706	4653	12134
1709	1069	34184
1711	42580	46646
1714	28626	32978
1716	7709	12136
1719	25291	16941
1721	46336	18541
1722	42235	4621
1723	30209	12836
1726	30541	18587
1727	37864	36250
1731	27491	45376
1732	5144	25067
1735	7901	48768
1738	45274	29004
1739	42216	17231
1746	37769	19800
1749	1062	2522
1750	44239	25051
1751	20745	8164
1752	40088	5242
1755	8159	5389
1757	34519	5599
1758	7205	39377
1759	38514	29862
1760	10926	39569
1761	5798	47087
1762	46717	45288
1763	31222	7050
1765	23118	41391
1767	5918	22346
1770	23597	18247
1772	18085	12770
1774	44666	14642
1776	7512	40614
1777	42038	30485
1780	44584	47783
1781	44213	16950
1784	25301	7724
1785	20477	15808
1787	23051	34777
1789	9692	35687
1791	16202	25228
1793	46936	2285
1794	28731	18475
1795	30388	8171
1799	24331	30140
1800	25455	18483
1804	15977	17944
1806	27155	17583
1808	874	26841
1809	2799	16736
1814	19094	34699
1819	5406	22271
1822	2854	42912
1823	9460	37004
1825	30280	49700
1827	29155	21851
1829	29354	40330
1830	44524	19116
1832	21880	9761
1835	35422	39279
1837	11664	3826
1840	6988	1954
1841	42067	189
1842	3686	6868
1843	1065	39194
1844	6010	27826
1850	34057	48675
1852	22610	11323
1853	13267	24824
1856	22345	22961
1858	25064	2514
1859	49762	34100
1861	19644	33757
1863	35800	10644
1865	8044	7564
1869	47299	27050
1872	46301	42331
1873	17579	48719
1876	19339	6247
1877	12579	38681
1879	15051	24237
1880	6459	28885
1881	48159	30284
1882	29379	10862
1883	36742	49051
1884	3532	26215
1885	49388	26287
1886	30182	34796
1889	23813	35141
1892	38441	41565
1894	26806	34428
1896	30262	48023
1899	19580	16178
1900	10841	34178
1905	12267	12295
1908	12206	8777
1909	40579	48307
1911	28882	8662
1915	33810	35512
1918	45842	30110
1919	32945	17197
1923	41246	27333
1925	23165	37495
1928	26807	32864
1929	49299	46915
1931	47556	25398
1932	4270	42138
1933	29327	41276
1934	46115	38343
1935	6210	26922
1937	45441	25551
1941	1203	13864
1942	40392	6832
1943	40257	22962
1945	4688	24354
1946	2928	23672
1949	29871	48015
1951	17567	42794
1953	10404	6514
1955	30334	3315
1958	17320	42795
1959	41418	1813
1960	13360	13209
1961	47206	31075
1962	374	694
1963	24328	48890
1965	14907	5496
1971	4903	42951
1972	6959	23634
1973	44285	1131
1974	27198	46345
1976	29131	32814
1977	9091	40366
1978	43318	29741
1979	22982	39057
1983	47057	2376
1985	46323	41542
1986	15433	26730
1987	5604	15541
1988	25765	37720
1989	49685	46547
1990	49284	26424
1991	25869	12928
1992	33068	31883
1997	8409	4111
1998	46737	49695
2000	8371	19532
2002	32325	44101
2004	39575	46742
2010	8009	40472
2012	27597	268
2016	20206	21548
2017	49152	24745
2018	22307	14400
2020	6818	47792
2021	39117	6351
2022	31993	17144
2025	23426	28880
2027	23997	40129
2030	45012	6541
2037	5124	3617
2040	19180	558
2041	8563	6421
2042	10623	10102
2043	20682	8092
2045	48264	25395
2046	27273	23189
2048	8778	25969
2050	15819	794
2056	2190	7666
2060	35852	5058
2061	24128	22820
2062	11546	26125
2065	6176	17029
2068	13708	28157
2069	45163	8500
2070	28692	28184
2071	17188	40470
2073	43770	28715
2074	13475	3667
2076	10840	12651
2077	14758	13960
2078	43473	29419
2081	8370	29009
2085	6184	15656
2088	7117	27192
2089	45517	5708
2094	2582	40176
2095	3257	26854
2096	38703	39042
2098	27251	7353
2099	12609	9314
2100	2930	20762
2104	37318	22945
2105	48252	8125
2109	11386	17092
2111	30171	25615
2115	40536	39799
2118	32892	853
2123	17740	31561
2124	47278	40938
2126	42008	1584
2133	36114	31568
2135	35431	911
2136	24243	37434
2137	445	33430
2139	38745	47490
2142	3792	24783
2145	27401	16938
2146	34130	19073
2147	38828	26630
2149	37020	89
2155	32238	13539
2156	25155	36723
2159	27253	32438
2167	44067	15367
2168	22456	14325
2169	48865	4180
2170	37136	42938
2171	17916	34568
2172	41655	36166
2173	34892	41798
2174	25432	22097
2178	2074	44394
2180	47002	28057
2183	22149	22770
2185	25490	14796
2186	9150	36283
2188	950	25797
2189	9415	12504
2191	17396	20882
2194	14108	27291
2195	46724	3925
2196	29096	42813
2197	42817	28913
2199	35417	36500
2201	22428	9150
2202	31144	32574
2204	14828	21348
2207	46871	6224
2209	45807	19784
2217	7640	40796
2218	18214	23901
2219	40368	32080
2222	43763	18392
2225	730	35770
2229	36329	16568
2233	3166	32509
2234	26255	7482
2235	24397	46213
2236	23215	42277
2237	13117	22990
2238	9860	38803
2239	37834	20036
2240	46864	27737
2241	28235	48996
2243	8157	25211
2244	49470	7191
2245	34943	42040
2248	7120	7399
2250	15951	31684
2252	47592	15961
2253	6658	6871
2255	15334	39813
2256	5126	28113
2258	5638	27871
2259	48144	46130
2260	30166	12945
2262	30961	19622
2266	12635	21781
2272	34443	31012
2273	9788	29063
2274	40637	22022
2275	11713	12269
2278	45103	7837
2279	48635	14087
2284	21218	7507
2285	22591	40432
2288	38366	39099
2289	41531	29153
2290	12984	39219
2291	9026	23917
2292	47799	33277
2293	15429	5554
2294	45498	4992
2295	22501	18366
2296	27640	6578
2304	36945	32433
2305	37690	1411
2307	18906	11330
2308	10866	33656
2309	4771	15160
2310	45360	11755
2316	16472	38288
2318	4294	47030
2321	5544	16998
2322	5457	19700
2323	11751	9937
2325	45198	850
2329	41749	15086
2332	48693	13643
2333	28014	47932
2334	44847	14771
2335	49457	33831
2336	42256	34027
2337	18261	1260
2339	19200	12974
2342	14786	37107
2343	42772	28153
2345	44941	17394
2346	37345	3750
2347	46624	47656
2349	25686	32040
2350	39690	11433
2352	23070	42860
2353	44452	21946
2354	43182	49516
2356	38370	43652
2357	6267	7575
2359	14153	42777
2360	49507	26394
2362	16417	34551
2363	25420	41001
2364	8856	4401
2367	38607	42246
2370	27543	36197
2372	44456	29814
2373	48894	24911
2377	14210	16719
2379	21388	22736
2382	35988	43996
2386	46063	26989
2388	18200	19522
2389	959	15727
2390	39129	6164
2393	394	26962
2396	24748	29546
2400	5069	33290
2401	18184	36032
2402	38961	10869
2403	9174	3928
2405	34539	7406
2407	18075	3188
2414	17196	10597
2417	24208	18633
2422	15441	22813
2423	45118	33610
2424	19886	28627
2425	11000	9010
2428	7690	8566
2429	33691	2813
2430	19922	401
2431	9408	15006
2432	39728	16279
2433	22240	13018
2434	39361	15623
2435	28265	12044
2436	47378	49653
2437	2438	20127
2440	12103	35934
2442	38269	31775
2443	27844	19113
2444	21437	10251
2450	26788	27310
2454	2881	14257
2457	20949	27851
2460	6949	43314
2463	4549	12225
2465	6462	16511
2468	17828	40065
2469	22181	27589
2470	26210	15819
2471	9052	2843
2472	21923	45929
2473	12517	45319
2475	30177	18739
2478	42974	3285
2479	15504	28508
2481	40463	6100
2483	46906	38856
2484	26491	1051
2488	49591	35768
2491	46035	12086
2494	40656	29703
2496	38814	33853
2498	11130	43781
2499	8909	37685
2501	9914	44028
2504	17144	27798
2506	43200	30365
2508	5454	16139
2509	49058	14573
2511	34050	40343
2512	37557	2749
2514	34434	39680
2516	38060	32804
2517	26911	2212
2519	20617	28744
2520	19583	11617
2521	37788	2659
2522	40548	18037
2524	6116	20809
2525	4963	40828
2527	47012	27974
2528	13961	7879
2529	30221	41529
2532	29817	29487
2533	27388	26127
2534	14358	11374
2536	36054	43516
2537	37877	44638
2538	49895	48665
2539	26679	13384
2541	41965	4417
2544	26137	19148
2545	15946	7981
2547	44084	32049
2548	200	30856
2550	31083	39070
2553	42566	48438
2558	10372	34018
2559	5752	43130
2561	1632	45962
2563	38156	6710
2568	42158	22181
2569	34097	31266
2572	3546	15304
2573	43059	30998
2575	20444	425
2576	45112	22638
2581	38129	12788
2582	3593	34645
2583	7781	25062
2584	48455	17790
2587	43793	22249
2591	1100	14689
2593	28504	1494
2594	41040	47183
2599	49108	22825
2602	12408	14900
2605	47775	18274
2606	26706	22352
2607	10124	26655
2608	36367	19528
2615	23849	34243
2617	49710	30823
2619	39216	20544
2621	33327	822
2622	15686	46381
2623	4280	28479
2624	1213	30373
2625	3558	20269
2626	3137	35382
2629	7608	23071
2630	9489	3723
2631	25990	29199
2632	15339	15496
2634	18479	29277
2635	38002	15238
2637	33141	38443
2639	5708	41299
2640	40716	18462
2644	31421	6653
2648	45123	18330
2650	8406	8753
2651	25486	14250
2652	13274	41596
2656	40654	45141
2657	44100	3651
2659	6005	17663
2660	46684	34227
2661	22893	32527
2664	32424	7186
2665	45636	4145
2671	7165	26043
2672	11348	34714
2673	48777	20981
2674	47069	25019
2675	26740	49654
2676	11599	7808
2677	17498	26270
2678	33668	22746
2680	6578	7490
2683	44073	45359
2689	6755	32444
2690	17229	49362
2691	7959	45448
2694	12634	37335
2695	9155	19146
2698	39177	33003
2700	47495	39346
2701	22110	25652
2704	46605	5449
2705	34151	46448
2708	8193	1422
2709	24679	7534
2710	42655	9999
2714	4364	43803
2716	13439	37667
2717	48359	47096
2721	36521	37981
2722	12276	47234
2724	13302	1798
2726	20674	23757
2729	2330	26055
2730	28469	17776
2733	43519	20855
2734	9181	48945
2737	3060	3433
2739	383	48833
2740	31108	33476
2741	25991	38225
2744	12409	16805
2745	30421	21191
2747	48151	21050
2751	30667	8900
2753	24036	651
2756	9760	32429
2759	10666	41027
2763	4260	41343
2764	11497	34052
2770	9614	27842
2772	26043	29403
2774	21241	31953
2776	15517	16973
2777	1978	22986
2778	2033	49658
2779	3290	31858
2780	2606	28691
2781	8991	10406
2784	28953	13159
2785	21531	4204
2786	27281	34319
2791	1394	36639
2800	13449	39811
2801	41180	45770
2802	13429	44753
2803	6666	24164
2804	32188	10940
2807	7661	39627
2810	15495	23915
2812	7431	34809
2813	18730	26979
2815	28658	40148
2816	16566	8674
2817	22290	26019
2819	19620	34905
2822	8262	47587
2824	27110	30023
2833	2841	19852
2835	9802	9445
2837	39887	8296
2842	40802	10158
2843	46751	25499
2846	15837	33142
2847	28839	12074
2848	27086	34765
2852	48131	18781
2855	25198	44779
2863	22312	17821
2867	10847	25444
2868	3696	6786
2869	16063	13600
2870	44879	20387
2875	37370	29477
2876	4878	9461
2877	35815	41774
2880	361	33401
2883	43365	21469
2884	4995	31905
2886	28755	12764
2887	16589	33165
2891	18301	34012
2892	43261	18513
2893	45346	42056
2894	20024	12871
2895	25644	14976
2896	4185	33550
2900	44164	32278
2902	37697	4577
2904	27807	6835
2905	43177	44497
2907	22434	12910
2908	21503	36343
2909	9597	38847
2910	18315	5505
2911	29452	23140
2912	26430	27112
2914	581	22795
2915	48318	43566
2916	42786	32137
2917	36360	28287
2919	39663	4071
2924	38084	32096
2927	35682	3359
2929	20882	3419
2930	29099	26646
2931	1735	44048
2936	34473	42943
2939	18599	15516
2945	40270	19414
2946	29991	13194
2948	11533	17740
2951	10901	32419
2954	47143	1708
2955	10555	1311
2956	44607	2499
2959	14915	7845
2962	26472	19076
2964	17404	14397
2965	31377	1780
2967	43809	13751
2968	45083	19890
2974	39078	12478
2977	5199	46749
2978	27065	13984
2980	11708	21070
2981	42872	22608
2983	39185	38392
2984	28533	17429
2986	22470	8032
2987	41136	23858
2989	43535	1235
2990	6277	23970
2991	176	46748
2993	6247	13302
2995	8861	43951
2997	47784	9714
2999	36935	42047
3000	42116	1218
3001	47660	7781
3003	1018	41097
3005	42215	34004
3007	21816	9360
3008	31402	10737
3009	33453	7982
3013	42045	34050
3014	19913	29243
3018	35842	27016
3021	32727	15308
3022	17464	2996
3025	11902	16603
3027	2022	10610
3028	49368	21167
3029	47103	55
3030	29851	48501
3033	17958	48888
3035	29964	11699
3036	28272	27935
3037	2899	11305
3038	46509	38923
3040	34770	11266
3041	40554	13903
3046	20309	35232
3052	34558	42974
3053	15875	34547
3054	17368	46371
3055	9321	2957
3056	15939	23134
3058	14158	46324
3059	16953	37818
3060	23638	15383
3061	46883	23718
3062	25407	27427
3066	38854	43835
3067	28174	39267
3068	30533	11561
3072	40937	24797
3073	32174	10685
3077	25215	41738
3079	16090	4380
3080	29890	49634
3081	28199	31931
3085	28869	37961
3092	2831	28215
3093	35906	43463
3095	23902	19940
3096	48412	20211
3097	26245	3215
3099	1980	12867
3100	9791	28820
3101	17483	31635
3102	5631	15998
3105	27071	20392
3106	11399	41757
3107	15162	1069
3108	24300	29735
3109	18130	40898
3110	17776	13416
3115	101	22062
3116	30727	7340
3117	19920	46768
3118	17185	37089
3121	29607	32714
3125	23934	10063
3126	34520	31095
3130	48249	32031
3131	24066	1114
3132	36320	20533
3133	49863	42666
3136	26924	16521
3139	28720	31141
3147	7407	28195
3148	892	45339
3150	18747	29662
3153	40729	6428
3154	9570	13213
3157	34840	24798
3161	42245	34898
3162	10823	31640
3163	19693	29575
3164	16379	3132
3166	13654	43894
3169	48093	34962
3171	31205	3545
3177	1393	6754
3181	13764	5981
3183	39460	27906
3188	32878	23314
3189	48639	27739
3195	1408	27359
3196	41464	9893
3197	49573	40047
3199	9470	46739
3200	22659	16821
3202	17337	35487
3208	3177	13901
3210	45178	13549
3211	23998	45217
3214	10359	49903
3215	6063	15335
3217	35717	17301
3219	26463	10975
3221	23230	30872
3224	30796	49247
3225	13082	27376
3228	34280	7061
3230	26269	13827
3231	14636	12624
3240	16534	47712
3242	43700	44550
3247	41975	37201
3248	40182	22944
3252	29407	24490
3255	22347	23259
3257	26832	3115
3258	31633	33667
3259	41854	20357
3263	45413	29643
3265	323	44106
3266	31185	23356
3270	18739	22906
3271	6282	47673
3275	31309	41986
3276	20443	29013
3277	7171	34501
3278	49219	10859
3282	12851	17893
3284	16858	47383
3288	33612	34807
3289	24541	10829
3290	4226	14060
3291	18659	34163
3292	47705	25995
3293	42507	567
3294	30155	5752
3295	48039	4152
3297	41797	28897
3298	12810	41249
3299	15564	36620
3300	556	30741
3302	46250	1741
3303	30546	42538
3305	45915	17450
3306	20103	45863
3307	29050	20068
3308	23588	18899
3309	6679	13224
3311	11768	5924
3312	6832	18668
